id,action,background,department
630204,Hold a Public Inquiry into PFI and the NHS financial burden to fund them.,Identify individuals and family members involved in the decisions and have profited from them. Be accountable for massive expenditure which is politically expedient but fiscally incompetent.,Department of Health and Social Care
578966,Fund free rape alarms for all,"The Government should fund free rape alarms, also known as personal attack alarms, for anyone in the UK who wants one. ",Department of Health and Social Care
590237,Prioritise teachers for covid booster vaccinations,"The NHS is planning for covid booster vaccinations in the autumn - teachers should be prioritised, since children aren't going to be vaccinated.
It is impossible to effectively socially distance in school and they are planning to scrap the requirement for bubbles to isolate, so cases may rise.",Department of Health and Social Care
660626,Ban advertising campaigns of processed foods that are targeted at children,"Create and pass legislation to prevent advertising campaigns for processed foods being targeted at children. This could help reduce children’s desire for such foods, leaving parents more able to guide. It could also help break the nostalgia chain where such foods are sought for comfort in adulthood.",Department of Health and Social Care
328047,Add Crohn’s & Colitis to the Medically Exempt Certificate,"Crohn’s & Colitis are lifelong Inflammatory Bowel Diseases with no current cure. Living with a chronic condition is physically, mentally and emotionally draining. Knowing you have to take medication for the rest of your life is tough, but that medication doesn’t come free, or cheap.",Department of Health and Social Care
627675,Hold Public Inquiry on the Safety of Mental Health Services for the vulnerable,"For the sake of safeguarding Children & Vulnerable Adults in need of care. 

A National Inquiry on both Private Institutes & the NHS Mental Health Services for finding risk factors so that we can better assess how to ensure people are safe.",Department of Health and Social Care
605552,Create a national pass for people with diagnosed hidden disabilities,"The Government should create a national scheme that provides a free card to people with a diagnosed hidden disability (such as autism or cognitive impairment), so this can be presented to help people understand that they have a hidden disability.",Department of Health and Social Care
552213,Stop proven victims of NHS medical negligence being silenced by gagging orders.,To outlaw publicly-funded gagging orders being imposed on NHS patients who have experienced proven serious medical negligence.  Also to rescind all such gagging orders that are already in place and which were imposed as part of court settlements of medical negligence cases.,Department of Health and Social Care
628203, Carer's Allowance should be deducted as other incomes within Universal Credit,"Carers allowance is deducted in full and this should be treated as any other means tested monies within Universal Credit.
Carers are forced into this position and should be properly recognised for their work. Carers most often cannot maintain employment and rely on benefits to exist.",Department of Health and Social Care
555301,All medical and care professionals to be trained in BSL,"We would like the government to do is to fund British Sign Language training for all the NHS and care workers , so they can communicate with the deaf Community in their own preferred language. It will enable the Deaf Community to feel equal and not feel isolated.",Department of Health and Social Care
656893,Prohibit latex gloves,To ban the use latex gloves in favour of alternatives such as nitrile/vinyl gloves. This can help create an environment where people feel safe and confident that they will not face a potentially life-threatening allergic reaction.,Department of Health and Social Care
589528,Make the Care Quality Commission responsible for oversight of managed quarantine,The Government should give the CQC regulatory oversight of all providers of managed quarantine to ensure safety & compliance. Managed quarantine is not a normal hotel & therefore must be regulated. Confusing healthcare & hotel services can lead to unsafe practices & serious consequences.,Department of Health and Social Care
562053,Introduce Mass Rapid Testing to Birmingham,The government has said it wants communities to come together and show they will participate in mass testing (like Liverpool has done) to go down the tier structure. Sign if you would agree to Birmingham doing this.,Department of Health and Social Care
332219,Fully enact Seni’s Law,"Urgently enact all of the Mental Health Units (Use of Force) Act 2018. 

Seni’s Law was passed in 2018 but its full legislation is still not in place. Mental Health Minister Nadine Dorries urgently must enact the legislation.",Department of Health and Social Care
300309,Fund the creation of a new hospital between Shrewsbury and Telford,This petition calls on the Government to provide funding and the go-ahead for the building of a new hospital off the M54 motorway between Shrewsbury and Telford capable of providing accident and emergency services for the entirety of Shropshire and mid Wales.,Department of Health and Social Care
551742,Give schools a supply of Covid testkits,The government needs to supply enough Covid tests kits inside schools to allow them to send pupils and staff home with a test kit. They can then request replacement stock weekly.,Department of Health and Social Care
619190,Remove indemnity from the manufacturers of covid-19 vaccines,"Remove indemnity from the manufacturers of covid-19 vaccines, to allow individuals to pursue claims for compensation against them.",Department of Health and Social Care
635877,Extend free NHS prescriptions and dental care to full- and part-time students.,I would like the Government to exend free NHS prescriptions and free NHS dental healthcare to full- and part-time university students.,Department of Health and Social Care
645853,Hold a public awareness campaign to raise awareness of early menopause,"We want the Government to hold a public awareness campaign to raise awareness of Early Menopause and the causes such as surgery, cancer treatments and certain health conditions. Early menopause can have a devastating impact on a women's physical and mental health.",Department of Health and Social Care
640402,"Fund cervical cancer screening from age 16, and encourage take-up of HPV vaccine","Cervical cancer screening is currently available to those aged over 25, but I would like it to be available from the age of 16, as this is the age of consent for sex. This would provide support for all young women.",Department of Health and Social Care
655518,Children in care to have counsellor automatically assigned,"Make it a mandatory that all children in care have a counsellor assigned to them, throughout care and once they have left. The counselling is then always available, they are made aware of what counselling can help with, and they can access this support if they’d like to.",Department of Health and Social Care
655201,Provide funding for STI screening at the beginning of a pregnancy,"On 14/09/2023 I gave birth to my daughter, Harper Rose at 18wks 3days pregnant due to an infection. Harper Rose lived for 30 minutes before sadly passing away. 4 days later I found out that I had 2 STIs.",Department of Health and Social Care
620443,Provide legal recognition for assistance animals other than dogs,"All assistance animals (trained to aid or assist an individual with a disability) should be recognised in law, without limiting this to just dogs.",Department of Health and Social Care
608668,Fund free neurodivergence screening for all children,"The Government should fund free screening for all primary age school children for neurodivergence. The current cost to individuals and society of unrecognised neurodivergence is high - overrepresentation in school exclusions, the criminal justice system, addiction, mortality, and more.
",Department of Health and Social Care
619716,Require iron content be included on mandatory food nutrition labels.,Require iron content be included on mandatory food nutrition labels stating calorie content and certain other nutritional facts.,Department of Health and Social Care
329911,Create an ‘opt out’ system for the Bone Marrow Register and Cord Blood Bank,"I think all NHS hospitals should be able to save umbilical cords, where possible, and use them to help children and young adults (under 25) with a blood cancer.",Department of Health and Social Care
661876,Increase funding for end of life care,We want the Government to increase funding for end of life care. All human life has value. We think that accessible and fully funded palliative care would show respect for this value.,Department of Health and Social Care
645885,Ban the use of dogs for testing and research purposes in the UK,"Dogs display a range of emotions, and their cognitive abilities are complex and advanced. Dogs in laboratories are forced to endure not only psychological trauma due to their restrictive environment but can also undergo harmful experiments that cause pain and suffering.",Department of Health and Social Care
584756,Prevent Covid vaccines for children until clinical trials have fully concluded,"While a number of children have sadly died with Covid, severe or life-threatening symptoms in children are rare, and any plans to roll out vaccination to all children would appear to be more about protecting the vulnerable, than children.",Department of Health and Social Care
632406,Launch an independent inquiry into injustices suffered by BME NHS staff,"We would like the Government to commission an independent inquiry into injustices which have been suffered by BME NHS staff, to see what lessons can be learned so that such injustices do not happen again in the future, and to provide support and compassion to those who have suffered.",Department of Health and Social Care
332039,Legalise and fund research on use of psilocybin mushrooms for medical purposes,"I would like the Government to fund research on psilocybin mushrooms and how they can be used by doctors to treat mental health issues such as depression, PTSD, and addictions to alcohol or other harmful drugs.",Department of Health and Social Care
630551,Urgent funding for research into Long Covid and ME/CFS treatments and cures,Around a quarter of a million people are suffering with ME/CFS in the UK and over 2 million with long Covid. Many of these people are severely disabled. There are no cures of specific medicines for these conditions. Urgent funding is needed for research to find effective treatments and cures.,Department of Health and Social Care
647006,Fund increased bursary for student nurses,"We would like the Government to provide funding for increased bursaries for student nurses. We believe current bursaries are insufficient, especially during the current cost of living crisis.",Department of Health and Social Care
633938,Extend regulation of health services to medical services at events,"To extend regulation of health services to medical companies providing care at sport, entertainment and cultural events.
 
Currently medical companies providing these services are not regulated, which can contribute to variabilities in the standards of care given to patients in the event setting.",Department of Health and Social Care
596526,Fund routine breast screening from age 30,"Knowing people in their 30's fighting this disease, I believe there are grounds to start breast cancer screening when women are in their 30's.",Department of Health and Social Care
658667,Review identification and diagnosis of sepsis by the NHS,We want the Government to review how sepsis is identified and diagnosed by the NHS. This should look at what action can be taken to prevent cases where sepsis goes undiagnosed..,Department of Health and Social Care
654663,Give NHS dentists Units of Dental Activity (UDAs) for missed appointments,"For NHS dentistry, we think it would be great if practices could get Units of Dental Activity (UDAs) for patients who haven`t turned up for booked appointments, as this is not the practice's fault.",Department of Health and Social Care
628393,Create a £25 million annual fund to pay for respite breaks for unpaid carers,"The Government to create an annual fund of £25m to pay for respite breaks for unpaid carers, many of whom cannot afford to pay for these themselves, and deserve breaks for their caring responsibilities.",Department of Health and Social Care
631196,Fund free parking for all staff at NHS hospitals,"All hospital workers should be able to park at their place of work for free, and not subjected to having to pay at a parking meter like visitors.",Department of Health and Social Care
639108,Require separate spaces in NHS settings for pregnancy loss and fertility testing,I would like the Government to require 'Angel Areas' in NHS settings for those who have experienced pregnancy loss or are going through fertility testing.,Department of Health and Social Care
